                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.0085,                 3.8486,                 1.4778,                0.02469,                0.38658,                0.05952,                0.02809,                 1.8819,                 4.0475,                 1.4127,             0.00016149,             0.00016149,             0.00016149
                      2,                 1.8992,                 2.1925,                 1.2857,                0.69789,                0.14732,                0.30326,                  0.136,                 1.8887,                  3.262,                 1.2667,             0.00029793,             0.00029793,             0.00029793
                      3,                   1.85,                 1.6511,                 1.2624,                 0.3924,                0.34826,                0.41896,                0.18943,                 1.9424,                 2.7759,                 1.3389,             0.00040088,             0.00040088,             0.00040088
                      4,                 1.8191,                 1.4321,                 1.2546,                0.53417,                0.34223,                0.45593,                0.21204,                  1.914,                 2.5492,                 1.3038,             0.00047033,             0.00047033,             0.00047033
                      5,                 1.7924,                 1.3789,                  1.258,                0.52898,                0.55461,                0.53343,                0.24977,                 1.8357,                 1.8027,                 1.2315,             0.00046448,             0.00046448,             0.00046448
                      6,                 1.7581,                 1.3168,                 1.2368,                0.60349,                0.60507,                0.58709,                 0.2807,                 1.8184,                 1.6053,                 1.2444,             0.00038835,             0.00038835,             0.00038835
                      7,                  1.757,                 1.2275,                 1.2246,                0.65691,                0.67586,                0.68015,                0.31714,                 1.7935,                 1.4284,                 1.2513,             0.00031221,             0.00031221,             0.00031221
                      8,                 1.7024,                 1.1627,                 1.2152,                0.60525,                0.69286,                0.67509,                0.31578,                 1.8139,                 1.5045,                 1.2452,             0.00023608,             0.00023608,             0.00023608
                      9,                 1.6937,                 1.1056,                 1.2026,                0.69553,                0.71897,                0.72357,                0.34837,                 1.7694,                 1.4111,                 1.2318,             0.00015995,             0.00015995,             0.00015995
                     10,                 1.6725,                 1.0627,                 1.1893,                 0.6987,                 0.7396,                0.73927,                 0.3578,                 1.7551,                  1.288,                 1.2188,             8.3821e-05,             8.3821e-05,             8.3821e-05
